origem_dado,codigo_cnes,codigo_ine,unidade,equipe,distrito,idhm_bairro,saneamento_pct,populacao_adscrita,cobertura_pre_natal,vacinacao_infantil,hipertensos_acompanhados,diabeticos_acompanhados,saude_bucal_atendimentos,citopatologico_coletado,autoavaliacao_equipes,satisfacao_usuarios
SIMULADO,2001183,9000507,USF 170,eSF 170,Distrito Sanitário VIII,0.676,74.4,4443,46.3,76.1,55.2,65.4,90.4,61.5,75.6,87.6
SIMULADO,2001190,9000510,USF 171,eSF 171,Distrito Sanitário V,0.621,57.5,2622,23.9,37.6,36.7,31.5,9.1,32.3,49.9,67.5
SIMULADO,2001197,9000513,USF 172,eSF 172,Distrito Sanitário VI,0.72,78.5,2203,67.4,80.2,60.3,62.6,66.7,71.3,77.2,83.8
SIMULADO,2001204,9000516,USF 173,eSF 173,Distrito Sanitário III,0.639,72.5,2488,50.4,48.4,41.7,16.5,35.3,56.6,62.4,79.8
SIMULADO,2001211,9000519,USF 174,eSF 174,Distrito Sanitário II,0.57,58.8,3521,72.8,75.3,77.7,55.2,70.6,69.7,74.1,100.0
SIMULADO,2001218,9000522,USF 175,eSF 175,Distrito Sanitário IV,0.565,58.4,2914,27.4,35.6,19.1,30.3,15.1,18.8,42.7,42.2
SIMULADO,2001225,9000525,USF 176,eSF 176,Distrito Sanitário VII,0.696,71.7,3472,51.7,72.9,66.1,39.3,50.5,51.7,64.0,62.8
SIMULADO,2001232,9000528,USF 177,eSF 177,Distrito Sanitário V,0.822,75.3,2276,57.7,78.6,34.5,42.5,47.5,23.4,50.4,59.0
SIMULADO,2001239,9000531,USF 178,eSF 178,Distrito Sanitário III,0.694,68.3,3066,47.4,55.5,57.5,31.1,43.8,55.1,56.6,61.6
SIMULADO,2001246,9000534,USF 179,eSF 179,Distrito Sanitário VII,0.669,65.7,3266,59.6,87.4,61.8,74.8,68.0,64.2,62.8,67.0
SIMULADO,2001253,9000537,USF 180,eSF 180,Distrito Sanitário VII,0.706,73.6,3321,68.5,72.3,64.8,53.7,25.8,60.1,71.5,70.7
SIMULADO,2001260,9000540,USF 181,eSF 181,Distrito Sanitário VIII,0.798,87.8,3633,51.0,71.5,54.0,60.9,71.1,72.3,73.3,64.0
SIMULADO,2001267,9000543,USF 182,eSF 182,Distrito Sanitário III,0.7,61.5,4229,67.6,74.1,55.7,79.7,55.3,39.6,70.4,75.9
