origem_dado,codigo_cnes,codigo_ine,unidade,equipe,distrito,idhm_bairro,saneamento_pct,populacao_adscrita,cobertura_pre_natal,vacinacao_infantil,hipertensos_acompanhados,diabeticos_acompanhados,saude_bucal_atendimentos,citopatologico_coletado,autoavaliacao_equipes,satisfacao_usuarios,eixo_indicadores_assistenciais,eixo_autoavaliacao_equipes,eixo_satisfacao_usuarios,desempenho_bruto,ajuste_contexto,pulso,classificacao,eixo_mais_fraco,grupo
SIMULADO,2000693,9000297,USF 100,eSF 100,Distrito Sanitário VI,0.599,45.9,4237,35.6,38.9,16.7,20.4,1.1,29.7,43.0,59.6,14.211029985071372,11.214953271028042,30.103806228373703,16.8,6.0,22.8,Crítico,autoavaliacao_equipes,0
SIMULADO,2000700,9000300,USF 101,eSF 101,Distrito Sanitário VI,0.646,72.0,3850,36.8,48.2,47.5,43.6,27.0,44.6,62.1,72.4,33.13721923040847,40.965732087227416,52.249134948096895,38.5,1.2,39.7,Crítico,indicadores_assistenciais,0
SIMULADO,2000707,9000303,USF 102,eSF 102,Distrito Sanitário III,0.797,83.3,3339,58.6,66.3,55.8,43.1,56.9,58.5,71.3,73.0,50.77312585904148,55.295950155763244,53.28719723183391,52.2,-4.5,47.7,Crítico,indicadores_assistenciais,1
SIMULADO,2000714,9000306,USF 103,eSF 103,Distrito Sanitário I,0.648,55.9,4438,74.2,71.9,37.4,65.2,51.6,55.5,46.3,77.9,54.81863713045439,16.355140186915886,61.76470588235294,48.5,3.3,51.8,Atenção,autoavaliacao_equipes,0
SIMULADO,2000721,9000309,USF 104,eSF 104,Distrito Sanitário I,0.746,70.9,3438,83.3,100.0,84.0,99.5,65.5,88.7,98.4,95.4,85.8825058543526,97.50778816199379,92.0415224913495,89.4,-1.4,88.0,Excelência,indicadores_assistenciais,1
SIMULADO,2000728,9000312,USF 105,eSF 105,Distrito Sanitário III,0.596,61.7,4669,56.1,86.8,73.8,78.9,57.0,58.4,58.2,74.4,64.54939137859897,34.89096573208724,55.709342560553644,56.8,4.0,60.8,Atenção,autoavaliacao_equipes,0
SIMULADO,2000735,9000315,USF 106,eSF 106,Distrito Sanitário I,0.662,66.6,4786,32.3,63.4,50.1,26.6,32.2,41.6,56.0,52.6,33.36033811993474,31.464174454828665,17.993079584775085,29.9,1.5,31.4,Crítico,satisfacao_usuarios,0
SIMULADO,2000742,9000318,USF 107,eSF 107,Distrito Sanitário V,0.594,57.1,3731,66.9,69.8,57.6,66.8,50.2,72.1,79.3,87.8,59.397786708693985,67.7570093457944,78.89273356401384,65.0,4.6,69.6,Atenção,indicadores_assistenciais,1
SIMULADO,2000749,9000321,USF 108,eSF 108,Distrito Sanitário VII,0.649,64.1,3953,58.6,71.4,67.4,54.0,30.9,40.1,63.4,72.9,48.055895793472985,42.99065420560748,53.11418685121107,48.1,2.2,50.2,Atenção,autoavaliacao_equipes,0
SIMULADO,2000756,9000324,USF 109,eSF 109,Distrito Sanitário VIII,0.756,73.5,2864,63.0,74.1,67.6,38.9,44.9,58.3,58.2,59.3,52.65978400673876,34.89096573208724,29.584775086505182,44.5,-2.1,42.4,Crítico,satisfacao_usuarios,0
SIMULADO,2000763,9000327,USF 110,eSF 110,Distrito Sanitário IV,0.525,53.7,4318,73.7,57.1,51.3,52.8,41.2,49.1,61.7,67.8,48.38668996757949,40.34267912772586,44.290657439446356,46.0,7.0,53.0,Atenção,autoavaliacao_equipes,0
SIMULADO,2000770,9000330,USF 111,eSF 111,Distrito Sanitário VIII,0.719,83.7,3946,48.7,94.6,76.0,70.7,71.3,72.6,84.0,85.0,68.77497013113485,75.0778816199377,74.0484429065744,71.1,-2.4,68.7,Atenção,indicadores_assistenciais,1
SIMULADO,2000777,9000333,USF 112,eSF 112,Distrito Sanitário VIII,0.701,49.6,4546,65.2,63.4,74.7,58.6,57.5,53.3,53.6,69.7,56.56367995573769,27.725856697819317,47.57785467128028,49.0,2.6,51.6,Atenção,autoavaliacao_equipes,0
SIMULADO,2000784,9000336,USF 113,eSF 113,Distrito Sanitário VII,0.627,60.8,2894,93.5,69.8,91.7,71.3,63.9,89.2,87.5,76.8,76.95171993981785,80.52959501557633,59.86159169550172,74.2,3.2,77.5,Excelência,satisfacao_usuarios,1
SIMULADO,2000791,9000339,USF 114,eSF 114,Distrito Sanitário IV,0.55,56.4,4247,32.7,41.3,23.2,38.5,27.2,45.2,56.4,75.7,25.847808621506843,32.08722741433022,57.95847750865052,33.5,5.9,39.5,Crítico,indicadores_assistenciais,0
SIMULADO,2000798,9000342,USF 115,eSF 115,Distrito Sanitário III,0.686,71.0,3422,61.7,63.0,48.0,72.5,54.5,48.0,61.9,65.8,52.32218402419691,40.654205607476634,40.830449826989614,47.7,0.2,47.9,Crítico,autoavaliacao_equipes,0
SIMULADO,2000805,9000345,USF 116,eSF 116,Distrito Sanitário VIII,0.632,60.3,2681,92.1,100.0,100.0,100.0,78.3,100.0,90.7,85.3,94.74568822553897,85.51401869158879,74.5674740484429,88.9,3.1,92.0,Excelência,satisfacao_usuarios,1
SIMULADO,2000812,9000348,USF 117,eSF 117,Distrito Sanitário II,0.701,56.0,2645,60.2,73.2,50.2,30.5,44.2,57.1,65.5,77.6,47.08967282521274,46.26168224299066,61.24567474048441,49.8,1.8,51.6,Atenção,autoavaliacao_equipes,0
SIMULADO,2000819,9000351,USF 118,eSF 118,Distrito Sanitário IV,0.682,70.8,3661,82.1,88.8,63.5,73.5,62.6,75.4,90.2,87.2,71.85958019452225,84.73520249221184,77.85467128027682,75.6,0.4,76.0,Excelência,indicadores_assistenciais,1
SIMULADO,2000826,9000354,USF 119,eSF 119,Distrito Sanitário I,0.824,96.2,3030,86.5,84.2,59.5,62.0,52.8,71.5,78.4,80.4,66.56361290093382,66.35514018691589,66.08996539792389,66.4,-7.0,59.5,Atenção,satisfacao_usuarios,1
SIMULADO,2000833,9000357,USF 120,eSF 120,Distrito Sanitário VII,0.658,53.6,2464,90.8,81.9,69.5,45.5,47.3,63.4,63.4,85.1,63.12313363643264,42.99065420560748,74.22145328719722,61.3,3.3,64.6,Atenção,autoavaliacao_equipes,1
SIMULADO,2000840,9000360,USF 121,eSF 121,Distrito Sanitário VI,0.588,65.7,3310,57.3,70.0,52.1,53.2,50.0,65.9,65.2,74.1,52.843669488050786,45.79439252336449,55.19031141868511,51.9,3.6,55.6,Atenção,autoavaliacao_equipes,0
SIMULADO,2000847,9000363,USF 122,eSF 122,Distrito Sanitário I,0.696,67.0,3897,82.5,73.6,48.9,68.0,58.8,51.4,62.6,77.0,59.78525237233811,41.74454828660436,60.207612456747405,56.3,0.5,56.7,Atenção,autoavaliacao_equipes,0
SIMULADO,2000854,9000366,USF 123,eSF 123,Distrito Sanitário II,0.7,69.5,3029,55.4,67.0,40.3,35.1,25.4,44.7,71.8,66.8,38.356368103283835,56.074766355140184,42.560553633217985,42.7,0.0,42.8,Crítico,indicadores_assistenciais,0
SIMULADO,2000861,9000369,USF 124,eSF 124,Distrito Sanitário V,0.802,71.8,4683,93.6,64.0,60.9,71.1,63.9,65.3,66.8,79.0,65.91430961972641,48.28660436137071,63.667820069204154,61.9,-3.1,58.8,Atenção,autoavaliacao_equipes,1
SIMULADO,2000868,9000372,USF 125,eSF 125,Distrito Sanitário V,0.755,72.8,4226,55.3,59.5,39.2,38.1,41.4,46.4,74.2,69.9,39.94818939874359,59.81308411214954,47.92387543252596,45.5,-1.9,43.6,Crítico,indicadores_assistenciais,0
SIMULADO,2000875,9000375,USF 126,eSF 126,Distrito Sanitário VII,0.712,81.6,3533,77.1,63.0,93.0,60.2,67.0,83.1,76.9,80.8,69.52292148401526,64.01869158878506,66.78200692041521,67.9,-1.9,66.0,Atenção,autoavaliacao_equipes,1
SIMULADO,2000882,9000378,USF 127,eSF 127,Distrito Sanitário III,0.812,85.8,4630,89.3,92.5,81.4,92.7,73.0,88.1,74.7,89.4,84.84634860466406,60.59190031152648,81.66089965397924,79.4,-5.2,74.1,Atenção,autoavaliacao_equipes,1
SIMULADO,2000889,9000381,USF 128,eSF 128,Distrito Sanitário VIII,0.573,71.2,3325,97.8,72.5,68.1,51.8,37.8,79.7,67.2,79.8,64.81953248895651,48.90965732087228,65.05190311418684,61.7,3.3,65.0,Atenção,autoavaliacao_equipes,1
SIMULADO,2000896,9000384,USF 129,eSF 129,Distrito Sanitário IV,0.622,71.7,2563,67.4,74.6,46.1,55.2,32.7,78.3,60.7,71.7,54.839745425223406,38.78504672897197,51.03806228373703,50.9,1.9,52.8,Atenção,autoavaliacao_equipes,0
SIMULADO,2000903,9000387,USF 130,eSF 130,Distrito Sanitário VII,0.597,63.2,2293,61.1,85.2,58.7,40.0,56.0,53.5,64.3,69.8,54.497344994940256,44.39252336448598,47.750865051903105,51.1,3.7,54.9,Atenção,autoavaliacao_equipes,0
SIMULADO,2000910,9000390,USF 131,eSF 131,Distrito Sanitário II,0.645,78.4,4638,69.1,67.7,44.2,70.5,58.1,56.2,67.1,72.0,56.1046781141178,48.75389408099688,51.55709342560554,53.7,0.4,54.1,Atenção,autoavaliacao_equipes,0
SIMULADO,2000917,9000393,USF 132,eSF 132,Distrito Sanitário I,0.556,59.1,4695,69.7,75.4,37.1,71.1,36.8,57.2,68.7,78.9,53.58126508879369,51.24610591900313,63.49480968858132,55.1,5.4,60.5,Atenção,autoavaliacao_equipes,0
SIMULADO,2000924,9000396,USF 133,eSF 133,Distrito Sanitário I,0.737,80.3,4122,36.9,52.6,19.4,31.4,33.1,29.8,37.8,63.5,25.471444327965244,3.115264797507788,36.851211072664356,23.3,-2.4,20.8,Crítico,autoavaliacao_equipes,0
SIMULADO,2000931,9000399,USF 134,eSF 134,Distrito Sanitário III,0.66,63.6,2467,68.8,61.5,32.6,57.2,60.1,49.2,63.8,89.1,49.24469995885735,43.613707165109034,81.14186851211072,54.5,1.9,56.4,Atenção,autoavaliacao_equipes,1
SIMULADO,2000938,9000402,USF 135,eSF 135,Distrito Sanitário VIII,0.548,55.3,2963,32.3,38.5,0.1,8.7,17.9,17.1,35.8,54.3,8.937048233977267,0.0,20.934256055363313,9.5,6.1,15.7,Crítico,autoavaliacao_equipes,0
SIMULADO,2000945,9000405,USF 136,eSF 136,Distrito Sanitário I,0.589,53.3,2306,43.4,55.8,20.1,44.5,34.1,25.7,48.7,65.9,29.458227787187834,20.09345794392524,41.00346020761246,29.9,5.3,35.2,Crítico,autoavaliacao_equipes,0
SIMULADO,2000952,9000408,USF 137,eSF 137,Distrito Sanitário III,0.708,78.7,2333,85.5,87.0,92.3,73.5,65.3,79.9,77.5,92.5,78.2555811111826,64.95327102803739,87.0242214532872,77.3,-1.4,75.9,Excelência,autoavaliacao_equipes,1
SIMULADO,2000959,9000411,USF 138,eSF 138,Distrito Sanitário I,0.755,66.1,2839,84.1,94.3,72.7,70.1,66.9,64.2,74.0,82.0,73.0556947671496,59.50155763239876,68.85813148788927,69.5,-1.0,68.5,Atenção,autoavaliacao_equipes,1
SIMULADO,2000966,9000414,USF 139,eSF 139,Distrito Sanitário VIII,0.86,92.2,3687,66.5,74.8,68.8,48.6,32.2,67.0,79.9,89.9,55.053544784178065,68.69158878504675,82.52595155709344,63.3,-7.4,55.8,Atenção,indicadores_assistenciais,1
SIMULADO,2000973,9000417,USF 140,eSF 140,Distrito Sanitário VI,0.92,90.5,2370,34.4,51.8,50.7,39.1,15.8,40.3,59.6,63.4,30.504845182754234,37.071651090342684,36.67820069204152,33.1,-8.9,24.2,Crítico,indicadores_assistenciais,0
SIMULADO,2000980,9000420,USF 141,eSF 141,Distrito Sanitário VII,0.717,81.1,4759,31.8,40.3,26.1,24.0,22.9,50.2,43.3,56.3,23.49844102565913,11.682242990654206,24.39446366782006,21.3,-2.0,19.3,Crítico,autoavaliacao_equipes,0
SIMULADO,2000987,9000423,USF 142,eSF 142,Distrito Sanitário VI,0.591,65.1,3383,44.2,66.7,36.7,48.2,30.8,45.3,50.9,62.8,38.769683842976306,23.5202492211838,35.64013840830449,35.1,3.6,38.7,Crítico,autoavaliacao_equipes,0
SIMULADO,2000994,9000426,USF 143,eSF 143,Distrito Sanitário VI,0.488,63.4,2885,77.0,98.8,89.6,89.7,74.0,88.1,86.1,85.9,84.74604914613478,78.34890965732086,75.60553633217994,81.6,6.7,88.4,Excelência,satisfacao_usuarios,1
SIMULADO,2001001,9000429,USF 144,eSF 144,Distrito Sanitário VII,0.704,76.3,3541,71.6,72.0,72.6,63.6,44.7,54.8,76.2,79.4,58.60046200338899,62.92834890965733,64.3598615916955,60.6,-1.0,59.6,Atenção,indicadores_assistenciais,1
SIMULADO,2001008,9000432,USF 145,eSF 145,Distrito Sanitário I,0.607,48.1,4254,55.3,53.3,40.7,51.3,26.6,68.0,56.2,76.0,42.80245641147079,31.775700934579447,58.47750865051903,43.7,5.5,49.2,Crítico,autoavaliacao_equipes,0
SIMULADO,2001015,9000435,USF 146,eSF 146,Distrito Sanitário VII,0.643,63.7,3012,63.3,71.9,68.8,57.3,55.8,77.8,80.4,79.4,61.288646758511724,69.47040498442368,64.3598615916955,63.5,2.4,65.9,Atenção,indicadores_assistenciais,1
SIMULADO,2001022,9000438,USF 147,eSF 147,Distrito Sanitário VI,0.625,53.1,2323,49.4,52.4,39.8,56.0,20.7,40.2,45.5,72.5,35.81784020676958,15.109034267912778,52.422145328719715,35.0,4.3,39.3,Crítico,autoavaliacao_equipes,0
SIMULADO,2001029,9000441,USF 148,eSF 148,Distrito Sanitário VI,0.667,62.6,2332,47.1,58.6,47.1,35.5,52.1,42.6,64.9,71.1,39.9447974254794,45.32710280373833,49.999999999999986,43.0,1.9,44.9,Crítico,indicadores_assistenciais,0
SIMULADO,2001036,9000444,USF 149,eSF 149,Distrito Sanitário IV,0.776,89.7,4415,66.3,80.8,50.7,75.1,62.8,68.6,68.5,73.2,63.62640924454269,50.93457943925234,53.63321799307958,59.1,-4.8,54.3,Atenção,autoavaliacao_equipes,1
SIMULADO,2001043,9000447,USF 150,eSF 150,Distrito Sanitário VII,0.694,74.5,2490,58.7,60.1,44.2,70.4,55.5,48.9,70.6,95.3,50.34731787698232,54.20560747663551,91.86851211072664,59.4,-0.5,59.0,Atenção,indicadores_assistenciais,1
SIMULADO,2001050,9000450,USF 151,eSF 151,Distrito Sanitário IV,0.666,61.0,3852,75.2,80.4,69.1,58.2,65.8,86.8,73.1,82.6,69.317991115079,58.09968847352024,69.89619377162629,67.2,2.1,69.3,Atenção,autoavaliacao_equipes,1
SIMULADO,2001057,9000453,USF 152,eSF 152,Distrito Sanitário I,0.587,50.6,3199,69.1,73.7,62.3,81.2,70.9,70.6,70.1,69.6,67.33720827017804,53.42679127725856,47.40484429065743,60.6,5.7,66.3,Atenção,satisfacao_usuarios,0
SIMULADO,2001064,9000456,USF 153,eSF 153,Distrito Sanitário VIII,0.529,53.2,4221,58.4,96.6,52.4,70.5,44.4,65.5,72.6,71.4,61.445128447597845,57.3208722741433,50.51903114186852,58.4,6.9,65.4,Atenção,satisfacao_usuarios,0
SIMULADO,2001071,9000459,USF 154,eSF 154,Distrito Sanitário II,0.636,53.9,2357,61.0,48.1,46.6,55.5,40.7,24.6,57.5,61.2,38.63959198678709,33.80062305295951,32.871972318339104,36.5,3.9,40.4,Crítico,satisfacao_usuarios,0
SIMULADO,2001078,9000462,USF 155,eSF 155,Distrito Sanitário I,0.675,62.1,4534,78.2,97.1,76.2,69.3,77.3,63.4,82.2,87.8,74.50194852740283,72.27414330218069,78.89273356401384,74.9,1.7,76.6,Excelência,autoavaliacao_equipes,1
SIMULADO,2001085,9000465,USF 156,eSF 156,Distrito Sanitário V,0.839,86.4,4015,75.4,100.0,93.5,83.6,95.5,97.5,90.2,84.4,89.59772300444381,84.73520249221184,73.01038062283737,85.3,-6.1,79.2,Excelência,satisfacao_usuarios,1
SIMULADO,2001092,9000468,USF 157,eSF 157,Distrito Sanitário II,0.692,78.4,3368,32.5,62.2,61.4,41.4,24.2,60.6,60.1,68.4,39.9835289836943,37.85046728971963,45.3287197231834,40.6,-0.9,39.7,Crítico,autoavaliacao_equipes,0
SIMULADO,2001099,9000471,USF 158,eSF 158,Distrito Sanitário VII,0.768,81.7,2738,56.2,63.8,62.6,51.9,40.4,63.7,59.8,68.4,50.67328310891452,37.38317757009346,45.3287197231834,46.9,-3.5,43.5,Crítico,autoavaliacao_equipes,0
SIMULADO,2001106,9000474,USF 159,eSF 159,Distrito Sanitário IV,0.635,45.2,4740,79.9,92.5,63.7,88.3,84.3,61.6,88.0,88.7,75.99455369450571,81.30841121495327,80.44982698961938,77.9,5.1,83.0,Excelência,indicadores_assistenciais,1
SIMULADO,2001113,9000477,USF 160,eSF 160,Distrito Sanitário I,0.573,59.8,2985,57.2,63.4,69.0,51.6,51.2,57.3,64.8,64.7,52.38581702752011,45.17133956386293,38.92733564013841,48.3,4.8,53.1,Atenção,satisfacao_usuarios,0
SIMULADO,2001120,9000480,USF 161,eSF 161,Distrito Sanitário VIII,0.593,59.9,3475,81.1,100.0,68.1,63.3,71.0,87.8,80.3,74.2,76.91137278920745,69.31464174454828,55.36332179930796,71.1,4.3,75.4,Excelência,satisfacao_usuarios,1
SIMULADO,2001127,9000483,USF 162,eSF 162,Distrito Sanitário V,0.615,64.8,3224,58.6,58.8,60.2,56.5,41.5,35.2,65.4,72.0,45.222796843612024,46.105919003115275,51.55709342560554,46.7,3.0,49.7,Crítico,indicadores_assistenciais,0
SIMULADO,2001134,9000486,USF 163,eSF 163,Distrito Sanitário III,0.872,99.0,2799,100.0,100.0,86.4,94.4,76.6,89.1,99.3,91.3,90.73969706465887,98.90965732087227,84.94809688581314,91.2,-8.7,82.5,Excelência,satisfacao_usuarios,1
SIMULADO,2001141,9000489,USF 164,eSF 164,Distrito Sanitário VI,0.606,44.1,3283,52.9,64.9,52.1,62.4,54.7,62.9,60.8,76.7,52.6410216451898,38.940809968847354,59.688581314878896,51.3,6.0,57.3,Atenção,autoavaliacao_equipes,0
SIMULADO,2001148,9000492,USF 165,eSF 165,Distrito Sanitário V,0.755,70.8,2593,60.1,77.8,44.7,71.1,56.6,64.7,79.2,70.3,58.139943207896096,67.60124610591902,48.61591695501729,58.1,-1.7,56.5,Atenção,satisfacao_usuarios,1
SIMULADO,2001155,9000495,USF 166,eSF 166,Distrito Sanitário I,0.599,64.6,2204,72.9,80.9,74.5,72.5,70.9,60.7,70.9,89.5,68.36417225505362,54.672897196261694,81.83391003460207,68.3,3.5,71.8,Atenção,autoavaliacao_equipes,1
SIMULADO,2001162,9000498,USF 167,eSF 167,Distrito Sanitário VII,0.764,63.7,2953,66.4,74.0,39.1,45.2,51.8,56.1,69.4,66.6,50.46906488225599,52.33644859813084,42.2145328719723,49.2,-1.0,48.2,Crítico,satisfacao_usuarios,0
SIMULADO,2001169,9000501,USF 168,eSF 168,Distrito Sanitário IV,0.715,83.3,2491,65.8,72.7,56.4,35.8,33.5,46.0,72.4,63.7,46.245951295234995,57.00934579439253,37.19723183391004,46.6,-2.2,44.4,Crítico,satisfacao_usuarios,0
SIMULADO,2001176,9000504,USF 169,eSF 169,Distrito Sanitário VI,0.666,69.5,3278,54.0,64.1,67.3,32.7,51.6,52.8,68.9,63.2,47.363626803963434,51.5576323987539,36.332179930795846,46.0,1.0,47.0,Crítico,satisfacao_usuarios,0
SIMULADO,2001183,9000507,USF 170,eSF 170,Distrito Sanitário VIII,0.676,74.4,4443,46.3,76.1,55.2,65.4,90.4,61.5,75.6,87.6,60.621750211728454,61.99376947040498,78.54671280276816,64.5,0.0,64.5,Atenção,indicadores_assistenciais,1
SIMULADO,2001190,9000510,USF 171,eSF 171,Distrito Sanitário V,0.621,57.5,2622,23.9,37.6,36.7,31.5,9.1,32.3,49.9,67.5,18.673728931493425,21.962616822429908,43.77162629757785,24.4,3.8,28.2,Crítico,indicadores_assistenciais,0
SIMULADO,2001197,9000513,USF 172,eSF 172,Distrito Sanitário VI,0.72,78.5,2203,67.4,80.2,60.3,62.6,66.7,71.3,77.2,83.8,64.19743539643513,64.48598130841123,71.97231833910034,65.8,-1.7,64.1,Atenção,indicadores_assistenciais,1
SIMULADO,2001204,9000516,USF 173,eSF 173,Distrito Sanitário III,0.639,72.5,2488,50.4,48.4,41.7,16.5,35.3,56.6,62.4,79.8,33.74942402256929,41.43302180685358,65.05190311418684,41.5,1.3,42.9,Crítico,indicadores_assistenciais,0
SIMULADO,2001211,9000519,USF 174,eSF 174,Distrito Sanitário II,0.57,58.8,3521,72.8,75.3,77.7,55.2,70.6,69.7,74.1,100.0,66.07774397417641,59.657320872274134,100.0,71.6,5.1,76.6,Excelência,autoavaliacao_equipes,1
SIMULADO,2001218,9000522,USF 175,eSF 175,Distrito Sanitário IV,0.565,58.4,2914,27.4,35.6,19.1,30.3,15.1,18.8,42.7,42.2,14.217045327571887,10.747663551401878,0.0,10.7,5.3,15.9,Crítico,satisfacao_usuarios,0
SIMULADO,2001225,9000525,USF 176,eSF 176,Distrito Sanitário VII,0.696,71.7,3472,51.7,72.9,66.1,39.3,50.5,51.7,64.0,62.8,49.54203313281298,43.925233644859816,35.64013840830449,45.6,-0.1,45.5,Crítico,satisfacao_usuarios,0
SIMULADO,2001232,9000528,USF 177,eSF 177,Distrito Sanitário V,0.822,75.3,2276,57.7,78.6,34.5,42.5,47.5,23.4,50.4,59.0,41.5490924933398,22.741433021806856,29.065743944636672,35.3,-4.1,31.2,Crítico,autoavaliacao_equipes,0
SIMULADO,2001239,9000531,USF 178,eSF 178,Distrito Sanitário III,0.694,68.3,3066,47.4,55.5,57.5,31.1,43.8,55.1,56.6,61.6,41.20873424780118,32.398753894081,33.56401384083045,37.9,0.4,38.3,Crítico,autoavaliacao_equipes,0
SIMULADO,2001246,9000534,USF 179,eSF 179,Distrito Sanitário VII,0.669,65.7,3266,59.6,87.4,61.8,74.8,68.0,64.2,62.8,67.0,65.59807620082033,42.05607476635514,42.90657439446367,56.4,1.4,57.7,Atenção,autoavaliacao_equipes,0
SIMULADO,2001253,9000537,USF 180,eSF 180,Distrito Sanitário VII,0.706,73.6,3321,68.5,72.3,64.8,53.7,25.8,60.1,71.5,70.7,52.775023848802306,55.60747663551402,49.30795847750865,52.6,-0.7,52.0,Atenção,satisfacao_usuarios,0
SIMULADO,2001260,9000540,USF 181,eSF 181,Distrito Sanitário VIII,0.798,87.8,3633,51.0,71.5,54.0,60.9,71.1,72.3,73.3,64.0,58.34004386905872,58.41121495327103,37.71626297577854,54.2,-5.1,49.1,Crítico,satisfacao_usuarios,1
SIMULADO,2001267,9000543,USF 182,eSF 182,Distrito Sanitário III,0.7,61.5,4229,67.6,74.1,55.7,79.7,55.3,39.6,70.4,75.9,57.25960366242998,53.89408099688474,58.3044982698962,56.8,1.1,57.9,Atenção,autoavaliacao_equipes,1
