unidade,distrito,indicador,prioridade,acao,motivo
USF 171,Distrito Sanitário V,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 9%, 32 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 173,Distrito Sanitário III,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 16%, 31 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 173,Distrito Sanitário III,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 48%, 15 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 175,Distrito Sanitário IV,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 19%, 32 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 175,Distrito Sanitário IV,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 19%, 29 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 177,Distrito Sanitário V,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 23%, 28 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 178,Distrito Sanitário III,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 31%, 16 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 180,Distrito Sanitário VII,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 26%, 15 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 181,Distrito Sanitário VIII,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 51%, 26 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 182,Distrito Sanitário III,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 40%, 32 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 004,Distrito Sanitário III,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 34%, 14 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 005,Distrito Sanitário VI,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 37%, 11 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 005,Distrito Sanitário VI,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 46%, 10 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 006,Distrito Sanitário V,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 63%, 13 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 008,Distrito Sanitário III,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 60%, 11 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 010,Distrito Sanitário VII,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 62%, 14 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 010,Distrito Sanitário VII,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 59%, 8 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 011,Distrito Sanitário III,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 65%, 12 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 013,Distrito Sanitário V,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 63%, 13 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 014,Distrito Sanitário VII,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 36%, 11 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 016,Distrito Sanitário VII,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 36%, 15 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 024,Distrito Sanitário VII,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 62%, 15 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 026,Distrito Sanitário III,Vacinação infantil,média,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 49%, 15 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 026,Distrito Sanitário III,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 38%, 14 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 028,Distrito Sanitário IV,Atendimentos de saúde bucal,média,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 53%, 12 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 028,Distrito Sanitário IV,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 55%, 12 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 029,Distrito Sanitário VII,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 38%, 13 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 031,Distrito Sanitário V,Atendimentos de saúde bucal,média,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 54%, 11 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 038,Distrito Sanitário VI,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 63%, 8 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 039,Distrito Sanitário IV,Atendimentos de saúde bucal,média,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 52%, 13 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 046,Distrito Sanitário I,Atendimentos de saúde bucal,média,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 29%, 12 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 050,Distrito Sanitário IV,Vacinação infantil,média,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 67%, 14 pontos abaixo da mediana das unidades de contexto semelhante (81%)."
USF 050,Distrito Sanitário IV,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 63%, 13 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 052,Distrito Sanitário III,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 61%, 8 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 053,Distrito Sanitário II,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 61%, 11 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 054,Distrito Sanitário V,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 58%, 8 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 061,Distrito Sanitário V,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 33%, 15 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 063,Distrito Sanitário VI,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 57%, 14 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 065,Distrito Sanitário VII,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 39%, 12 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 066,Distrito Sanitário V,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 57%, 15 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 068,Distrito Sanitário IV,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 61%, 10 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 069,Distrito Sanitário VIII,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 64%, 12 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 069,Distrito Sanitário VIII,Atendimentos de saúde bucal,média,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 56%, 9 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 071,Distrito Sanitário VI,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 60%, 9 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 072,Distrito Sanitário VIII,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 37%, 14 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 072,Distrito Sanitário VIII,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 45%, 11 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 073,Distrito Sanitário V,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 42%, 14 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 074,Distrito Sanitário VI,Vacinação infantil,média,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 50%, 14 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 077,Distrito Sanitário V,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 38%, 10 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 079,Distrito Sanitário IV,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 58%, 8 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 081,Distrito Sanitário I,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 38%, 10 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 081,Distrito Sanitário I,Vacinação infantil,média,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 55%, 9 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 092,Distrito Sanitário VIII,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 55%, 12 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 093,Distrito Sanitário I,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 60%, 11 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 094,Distrito Sanitário VIII,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 37%, 11 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 094,Distrito Sanitário VIII,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 42%, 9 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 097,Distrito Sanitário VII,Atendimentos de saúde bucal,média,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 51%, 14 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 097,Distrito Sanitário VII,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 62%, 9 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 099,Distrito Sanitário VIII,Atendimentos de saúde bucal,média,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 29%, 12 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 103,Distrito Sanitário I,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 37%, 11 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 107,Distrito Sanitário V,Atendimentos de saúde bucal,média,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 50%, 15 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 107,Distrito Sanitário V,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 58%, 11 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 108,Distrito Sanitário VII,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 40%, 11 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 108,Distrito Sanitário VII,Atendimentos de saúde bucal,média,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 31%, 10 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 109,Distrito Sanitário VIII,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 39%, 9 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 113,Distrito Sanitário VII,Vacinação infantil,média,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 70%, 11 pontos abaixo da mediana das unidades de contexto semelhante (81%)."
USF 119,Distrito Sanitário I,Atendimentos de saúde bucal,média,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 53%, 12 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 119,Distrito Sanitário I,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 60%, 9 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 123,Distrito Sanitário II,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 35%, 12 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 124,Distrito Sanitário V,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 61%, 8 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 125,Distrito Sanitário V,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 38%, 10 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 125,Distrito Sanitário V,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 39%, 9 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 129,Distrito Sanitário IV,Atendimentos de saúde bucal,média,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 33%, 8 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 132,Distrito Sanitário I,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 37%, 11 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 142,Distrito Sanitário VI,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 44%, 12 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 142,Distrito Sanitário VI,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 37%, 11 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 145,Distrito Sanitário I,Atendimentos de saúde bucal,média,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 27%, 14 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 145,Distrito Sanitário I,Vacinação infantil,média,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 53%, 10 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 146,Distrito Sanitário VII,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 63%, 13 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 146,Distrito Sanitário VII,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 57%, 10 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 147,Distrito Sanitário VI,Vacinação infantil,média,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 52%, 11 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 148,Distrito Sanitário VI,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 36%, 12 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 148,Distrito Sanitário VI,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 47%, 9 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 149,Distrito Sanitário IV,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 66%, 10 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 151,Distrito Sanitário IV,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 58%, 9 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 159,Distrito Sanitário IV,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 62%, 10 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 166,Distrito Sanitário I,Coleta de citopatológico,média,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 61%, 10 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 167,Distrito Sanitário VII,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 39%, 9 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 168,Distrito Sanitário IV,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 36%, 12 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 169,Distrito Sanitário VI,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 33%, 15 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 170,Distrito Sanitário VIII,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 55%, 14 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 172,Distrito Sanitário VI,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 67%, 9 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 172,Distrito Sanitário VI,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 60%, 9 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 174,Distrito Sanitário II,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 55%, 12 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 176,Distrito Sanitário VII,Acompanhamento de diabéticos,média,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 39%, 8 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 177,Distrito Sanitário V,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 34%, 14 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 178,Distrito Sanitário III,Cobertura de pré-natal,média,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 47%, 8 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 181,Distrito Sanitário VIII,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 54%, 15 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 182,Distrito Sanitário III,Acompanhamento de hipertensos,média,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 56%, 13 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 001,Distrito Sanitário V,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 55."
USF 003,Distrito Sanitário VI,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 47."
USF 009,Distrito Sanitário VIII,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 66."
USF 012,Distrito Sanitário IV,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 84."
USF 015,Distrito Sanitário VI,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 78."
USF 025,Distrito Sanitário IV,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 60."
USF 032,Distrito Sanitário I,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 59."
USF 033,Distrito Sanitário I,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 62."
USF 034,Distrito Sanitário IV,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 57."
USF 035,Distrito Sanitário VIII,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 56."
USF 040,Distrito Sanitário II,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 51."
USF 042,Distrito Sanitário III,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 54."
USF 051,Distrito Sanitário IV,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 52."
USF 055,Distrito Sanitário V,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 65."
USF 056,Distrito Sanitário I,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 76."
USF 057,Distrito Sanitário IV,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 61."
USF 058,Distrito Sanitário III,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 44."
USF 062,Distrito Sanitário VI,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 53."
USF 064,Distrito Sanitário VIII,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 79."
